"name","industry_label_list","revenue","netIncome","equity","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"Compañia General de Electricidad","Public utility","4.4E9",,,7880,"",,"","",,""
"Concentrix","Corporate services","5.3E9",,,250000,"",,"","",,""
"Constellation Brands","Drink","9.355E9",,,9300,"",,"","",,""
"Clipper Logistics","Logistics","6.962E8",,,9620,"",,"","",,""
"Cloudera","Cloud computing,Software","8.69E8",,,2728,"",,"","",,""
"Community Health Systems","Health care","1.8438E10",,,120000,"",,"","",,""
"City Link (company)","Courier","3.069E8",,,2727,"",,"","",,""
"Coca-Cola Bottling Co. Consolidated","Food processing","4.324E9",,,15500,"",,"","",,""
"Clear Channel Outdoor","Out-of-home advertising","2.68E9",,,5900,"",,"","",,""
"Codelco","Mining","1.6E10",,,17880,"",,"","",,""
"Cook Out (restaurant)","Restaurant","1.25E8",,,13000,"",,"","",,""
"Cowon","Consumer electronics,Mobile phone accessories,Online service provider,Software","1.212E11",,,193,"",,"","",,""
"Credit Karma","Financial technology,Personal finance,Software","5.0E8",,,700,"",,"","",,""
"DL Holdings","Construction,Engineering,Petrochemical","2.1E10",,,10000,"",,"","",,""
"Daily Mail and General Trust","Newspaper,Property,Website","1.1E9",,,4034,"",,"","",,""
"Daiwa House","Construction,Real estate","3.7371E10",,,44947,"",,"","",,""
"Core Laboratories","Petroleum industry","7.0E8",,,4700,"",,"","",,""
"DNO ASA","Petroleum industry","3.474E8",,,911,"",,"","",,""
"Daewoo Shipbuilding & Marine Engineering","Arms industry,Shipbuilding","1.276E10",,,13458,"",,"","",,""
"Daifuku (company)","Machine industry","4.05E11",,,9193,"",,"","",,""
"Cracker Barrel","Restaurant","2.821E9",,,55000,"",,"","",,""
"DNB ASA","Financial services","5.3993E10",,,11047,"",,"","",,""
"CybAero","Aerospace,Military","5.5591E7",,,55,"",,"","",,""
"Danieli","Manufacturing,Metal,Steel","2.8E9",,,9060,"",,"","",,""
"Darvin Furniture & Mattress","Furniture","8.3E7",,,300,"",,"","",,""
"Amarillo Design Bureau","Game","250000.0",,,5,"",,"","",,""
"Kobe Steel","Steel","1.696E12",,,39341,"",,"","",,""
"Komus (company)","Retail,Wholesaling","5.91E8",,,4200,"",,"","",,""
"Koppers","Bridge,Chemical substance,Railroad tie,Wood preservation","1.16E9",,,2100,"",,"","",,""
"Korea Electric Power Corporation","Electric utility","5.895E13",,,20705,"",,"","",,""
"Kiwa NV","Environment, health and safety","529.0",,,10000,"",,"","",,""
"Kontoor Brands","Clothing","2.5E9",,,15000,"",,"","",,""
"Kimberly-Clark","Personal care","1.91E10",,,40000,"",,"","",,""
"Kinaxis","IT service management","1.915E8",,,1000,"",,"","",,""
"Krispy Kreme","Restaurant","5.18714E8",,,21000,"",,"","",,""
"LG Electronics","Computer hardware,Consumer electronics,Home appliance","7.472E13",,,75000,"",,"","",,""
"LIN Media","Production company,Terrestrial television","4.435E8",,,2414,"",,"","",,""
"La Fantana","Drink","7850000.0",,,210,"",,"","",,""
"Terna Group","Public utility","2514.0",,,4735,"",,"","",,""
"Kyocera","Electronics industry","1.577E12",,,70153,"",,"","",,""
"LG Corporation","Conglomerate (company)","1.56E14",,,222000,"",,"","",,""
"Lamy","Writing implement","1.3E8",,,350,"",,"","",,""
"Landstar System","Transport","3.65E9",,,1273,"",,"","",,""
