"","name","domain","year founded","industry","size range","locality","country","linkedin url","current employee estimate","total employee estimate"
"5112672","atkins","atkinsglobal.com","1938.0","design","10001+","epsom, surrey, united kingdom","united kingdom","linkedin.com/company/atkins","10285","26838"
"3496894","pt bank mandiri (persero) tbk.","bankmandiri.co.id","1998.0","banking","10001+","jakarta, jakarta raya, indonesia","indonesia","linkedin.com/company/bank-mandiri","10268","15124"
"2320622","marsh","marsh.com","","insurance","10001+","new york, new york, united states","united states","linkedin.com/company/marsh","10231","28205"
"6978189","klm","klmf.ly","","airlines/aviation","10001+","amstelveen, north holland, netherlands","netherlands","linkedin.com/company/klm","10225","22726"
"117139","cintas","cintas.com","1968.0","facilities services","10001+","cincinnati, ohio, united states","united states","linkedin.com/company/cintas","10221","23447"
"740774","aker solutions","akersolutions.com","1841.0","oil & energy","10001+","akre, hordaland, norway","norway","linkedin.com/company/aker-solutions","10211","27587"
"1121998","zte","zte.com.cn","1985.0","telecommunications","10001+","shenzhen, guangdong, china","china","linkedin.com/company/zte","10200","23550"
"5231614","centers for disease control and prevention","cdc.gov","1946.0","government administration","10001+","atlanta, georgia, united states","united states","linkedin.com/company/centers-for-disease-control-and-prevention","10192","18872"
"2746498","veolia","veolia.com","1853.0","environmental services","10001+","paris, île-de-france, france","france","linkedin.com/company/veolia-environnement","10161","25627"
"1544221","applied materials","appliedmaterials.com","1967.0","semiconductors","10001+","santa clara, california, united states","united states","linkedin.com/company/applied-materials","10118","23800"
"752826","ebay","ebayinc.com","1995.0","internet","10001+","san jose, california, united states","united states","linkedin.com/company/ebay","10115","26752"
"1092582","first data corporation","firstdata.com","1971.0","financial services","10001+","atlanta, georgia, united states","united states","linkedin.com/company/first-data-corporation","10109","27510"
"4435435","charles schwab","schwab.com","1973.0","financial services","10001+","san francisco, california, united states","united states","linkedin.com/company/charles-schwab","10079","24529"
"1547707","tata steel","tatasteel.com","1907.0","mining & metals","10001+","bombay, maharashtra, india","india","linkedin.com/company/tata-steel","10045","20470"
